stock_name,common
Marine_animals,NA
Scombroids,NA
"Sharks,_rays,_chimaeras",NA
Marine_fishes_not_identified,NA
Miscellaneous_marine_molluscs,NA
Holothuroidea,NA
Clupeiformes,NA
Perciformes,NA
Clupeidae,NA
Scombridae,NA
Istiophoridae,NA
Sphyraena,NA
Auxis,NA
Panulirus,NA
Istiophorus_platypterus,Indo-Pacific sailfish
Euthynnus_affinis,Kawakawa
Gymnosarda_unicolor,NA
Katsuwonus_pelamis,Skipjack tuna
Thunnus_alalunga,Albacore
Thunnus_albacares,Yellowfin tuna
Thunnus_obesus,Bigeye tuna
Thunnus_tonggol,Longtail tuna
Makaira_indica,NA
Makaira_mazara,NA
Tetrapturus_audax,NA
Xiphias_gladius,Swordfish
Prionace_glauca,Blue shark
Acanthocybium_solandri,Wahoo
Tetrapturus_angustirostris,NA
Carangidae,NA
Sphyrna,NA
Coryphaena_hippurus,Common dolphinfish
Euphausia,NA
Carcharhinus_longimanus,Oceanic whitetip shark
Alopias_vulpinus,Thresher
Anguilliformes,NA
