rgn_id,year,popsum
1,2000,1907191.5013083
1,2001,1927937.21870673
1,2002,1948682.93610516
1,2003,1969428.65350359
1,2004,1990174.37090202
1,2005,2010920.08830045
1,2006,2036623.71656832
1,2007,2062327.3448362
1,2008,2088030.97310407
1,2009,2113734.60137195
1,2010,2139438.22963982
1,2011,2176957.71609491
1,2012,2214477.20255
1,2013,2251996.68900508
1,2014,2289516.17546017
1,2015,2327035.66191526
1,2016,2385771.98897415
1,2017,2444508.31603303
1,2018,2503244.64309192
1,2019,2561980.97015081
1,2020,2620717.2972097
